incident_id,service_name,alert_type,severity,summary,root_cause,solution,occurred_at,resolved_at,resolution_time_seconds
INC-001,news-classifier-api,HighCPULoad,critical,CPU spiking to 98% during deployment with high request latency,Docker image build cache not cleared causing old dependencies to conflict with new code,Clear Docker build cache with --no-cache flag and rebuild image. Add cache cleanup to CI/CD pipeline,2024-01-15 14:30:00,2024-01-15 14:45:00,900
INC-002,news-classifier-api,HighMemoryUsage,high,Memory usage climbing from 60% to 95% over 2 hours then stabilizing,Memory leak in text preprocessing - regex patterns not properly compiled and recreated on each request,Compile regex patterns once at module level instead of per-request. Add memory profiling to monitoring,2024-01-20 09:15:00,2024-01-20 11:30:00,8100
INC-003,news-classifier-api,HighCPULoad,medium,CPU at 75% with normal request rate after model update,New ML model version 2.1 has inefficient attention mechanism requiring more computation,Rolled back to model v2.0. Optimized v2.1 attention layers using torch.compile before next deployment,2024-01-25 16:00:00,2024-01-25 16:20:00,1200
INC-004,news-classifier-api,DiskSpaceCritical,critical,Disk usage at 92% and climbing - API responding slowly,Log rotation not configured - application logs filled /var/log directory,Configured logrotate to compress and archive logs older than 7 days. Increased disk monitoring alerts,2024-02-01 03:45:00,2024-02-01 04:10:00,1500
INC-005,news-classifier-api,DatabaseSlowQueries,high,Database queries taking 5-10 seconds instead of 100ms,Missing index on classification_results table after schema migration,Added composite index on (service_id timestamp) columns. Analyzed query execution plans,2024-02-05 10:30:00,2024-02-05 11:00:00,1800
INC-006,news-classifier-api,HighMemoryUsage,medium,Memory at 80% with moderate load,Batch size increased from 16 to 64 in config but GPU memory insufficient,Reduced batch size to 32 - optimal balance between throughput and memory. Document recommended batch sizes,2024-02-10 14:20:00,2024-02-10 14:35:00,900
INC-007,news-classifier-api,NetworkTimeout,high,502 errors on 30% of requests - Nginx returning bad gateway,Gunicorn worker timeout set to 30s but model inference takes 35-40s for complex articles,Increased Gunicorn timeout to 60s. Optimized model inference to target <25s. Added request timeout monitoring,2024-02-15 11:00:00,2024-02-15 11:45:00,2700
INC-008,news-classifier-api,HighCPULoad,critical,CPU at 100% preventing new requests from being processed,Traffic spike from news aggregator added our API without notice - 10x normal load,Implemented rate limiting (100 req/min per API key). Scaled to 3 replicas. Contacted aggregator for coordination,2024-02-20 08:30:00,2024-02-20 09:15:00,2700
INC-009,news-classifier-api,ModelDrift,medium,Classification accuracy dropped from 94% to 87% over 1 week,Training data from 2023 doesn't reflect current news topics and language patterns,Retrained model with recent 3 months data. Established monthly retraining schedule. Added drift monitoring,2024-02-25 15:00:00,2024-02-26 10:00:00,68400
INC-010,news-classifier-api,DiskSpaceCritical,high,Disk at 88% - cached model artifacts not cleaned up,Model download process saves to /tmp but doesn't clean up previous versions,Added cleanup script to remove model artifacts older than 30 days. Moved cache to dedicated volume,2024-03-01 12:00:00,2024-03-01 12:30:00,1800
INC-011,news-classifier-api,HighCPULoad,high,CPU sustained at 85% during morning hours (8-10 AM),Peak usage period coincides with news publishers morning releases,Added autoscaling rule: scale to 4 replicas during 7-11 AM. CPU normalized to 50%,2024-03-05 08:30:00,2024-03-05 09:00:00,1800
INC-012,news-classifier-api,HighMemoryUsage,critical,Memory leak causing OOM kills every 6 hours,Hugging Face tokenizer cache growing unbounded - not using context manager properly,Fixed tokenizer initialization to use with statement. Added memory limit enforcement. Restart schedule as failsafe,2024-03-10 18:00:00,2024-03-10 19:30:00,5400
INC-013,news-classifier-api,DatabaseSlowQueries,critical,Database connection pool exhausted - new requests failing,Max connections set to 10 but concurrent requests reach 40 during peak,Increased connection pool to 50. Added connection pooling metrics. Implemented request queuing,2024-03-15 13:00:00,2024-03-15 13:30:00,1800
INC-014,news-classifier-api,NetworkTimeout,medium,Intermittent timeouts on external API calls for fact-checking,Third-party fact-checking API has 10s timeout but sometimes takes 15s,Increased timeout to 20s. Implemented circuit breaker pattern. Added fallback to skip fact-check if API slow,2024-03-20 10:15:00,2024-03-20 10:45:00,1800
INC-015,news-classifier-api,HighCPULoad,medium,CPU at 70% after adding sentiment analysis feature,Sentiment model runs on CPU instead of GPU - configuration error,Updated deployment config to use GPU for sentiment model. CPU dropped to 35%. Document GPU requirements,2024-03-25 11:00:00,2024-03-25 11:20:00,1200
INC-016,news-classifier-api,DiskSpaceCritical,high,Prometheus metrics storage consuming 15GB and growing,Retention period set to 1 year but only need 30 days for this service,Reduced Prometheus retention to 30 days. Configured remote write to long-term storage. Freed 12GB,2024-03-28 14:00:00,2024-03-28 14:30:00,1800
INC-017,news-classifier-api,HighMemoryUsage,high,Memory at 88% with normal traffic - gradual climb over 3 days,Embedding cache not implementing LRU eviction - growing unbounded,Implemented LRU cache with 10000 item limit. Memory stabilized at 55%. Added cache hit rate monitoring,2024-04-02 16:00:00,2024-04-02 17:00:00,3600
INC-018,news-classifier-api,ModelDrift,high,False positive rate increased for political news category,Recent elections introduced new political terminology not in training data,Created politics-specific fine-tuned model variant. Implemented category-based model routing,2024-04-08 09:00:00,2024-04-09 14:00:00,104400
INC-019,news-classifier-api,NetworkTimeout,critical,All external API calls timing out - service appears down from outside,Kubernetes network policy blocked egress traffic after security update,Updated network policy to allow egress to whitelisted APIs. Added connectivity health checks,2024-04-12 07:30:00,2024-04-12 08:00:00,1800
INC-020,news-classifier-api,HighCPULoad,high,CPU at 82% correlating with increased classification errors,Unicode handling bug causes infinite loop on certain emoji sequences,Fixed regex pattern to properly handle Unicode ranges. Added input sanitization. CPU to 40%,2024-04-18 15:00:00,2024-04-18 16:00:00,3600
